epoch,accuracy,loss,val_accuracy,val_loss
0,0.29563796520233154,1.6461036205291748,0.17798690497875214,2.998760223388672
1,0.37378689646720886,1.5153276920318604,0.35638296604156494,1.6201831102371216
2,0.42404741048812866,1.434011459350586,0.43126022815704346,1.4588266611099243
3,0.46409234404563904,1.3479104042053223,0.42798691987991333,1.4437649250030518
4,0.4784962832927704,1.304120421409607,0.4271685779094696,1.6692485809326172
5,0.507917046546936,1.2506296634674072,0.44394436478614807,1.4101430177688599
6,0.5230360627174377,1.2134114503860474,0.4157119393348694,1.5536867380142212
7,0.5466339588165283,1.171257495880127,0.414484441280365,1.9020308256149292
8,0.5501072406768799,1.1463583707809448,0.3837970495223999,2.0408456325531006
9,0.5622637867927551,1.124747395515442,0.37479540705680847,1.9894061088562012
10,0.5745224356651306,1.0969316959381104,0.3977086842060089,1.912696123123169
11,0.586372435092926,1.0800870656967163,0.47504091262817383,1.6890869140625
12,0.5875983238220215,1.0576748847961426,0.40220949053764343,2.2510852813720703
13,0.5995505452156067,1.0416133403778076,0.46563011407852173,1.6541491746902466
14,0.6111962199211121,1.0160123109817505,0.3121931254863739,3.936493396759033
15,0.6198794841766357,0.9963299036026001,0.2888706922531128,3.441608428955078
