,precision,recall,f1-score,support,accuracy
Angry,0.40219560878243515,0.9285714285714286,0.5612813370473537,434.0,0.47504091653027825
Disgusted,0.36455696202531646,0.7721179624664879,0.49527085124677556,373.0,0.47504091653027825
Fearful,0.6568627450980392,0.32682926829268294,0.4364820846905538,410.0,0.47504091653027825
Happy,0.8787878787878788,0.6682027649769585,0.12419700214132762,434.0,0.47504091653027825
Neutral,0.7355769230769231,0.42618384401114207,0.5396825396825397,359.0,0.47504091653027825
Sad,0.7439613526570048,0.3548387096774194,0.48049921996879874,434.0,0.47504091653027825
accuracy,0.47504091653027825,0.47504091653027825,0.47504091653027825,0.47504091653027825,0.47504091653027825
macro avg,0.6303235784045995,0.4792269149194761,0.4395688391295582,2444.0,0.47504091653027825
weighted avg,0.6334663045699308,0.47504091653027825,0.4351366508422882,2444.0,0.47504091653027825
