,precision,recall,f1-score,support,accuracy
Angry,0.8520710059171598,0.663594470046083,0.7461139896373057,434.0,0.6706219312602292
Disgusted,0.8064516129032258,0.5361930294906166,0.644122383252818,373.0,0.6706219312602292
Fearful,0.6461916461916462,0.6414634146341464,0.6438188494492044,410.0,0.6706219312602292
Happy,0.644880174291939,0.6820276497695853,0.6629339305711086,434.0,0.6706219312602292
Neutral,0.5789473684210527,0.8579387186629527,0.691358024691358,359.0,0.6706219312602292
Sad,0.6173913043478261,0.6543778801843319,0.6353467561521253,434.0,0.6706219312602292
accuracy,0.6706219312602292,0.6706219312602292,0.6706219312602292,0.6706219312602292,0.6706219312602292
macro avg,0.6909888520121416,0.6725991937979527,0.6706156556256534,2444.0,0.6706219312602292
weighted avg,0.6919851759870465,0.6706219312602292,0.6709035178527605,2444.0,0.6706219312602292
