,precision,recall,f1-score,support,accuracy
Angry,0.646551724137931,0.8640552995391705,0.7396449704142012,434.0,0.6342062193126022
Disgusted,0.869281045751634,0.35656836461126007,0.5057034220532319,373.0,0.6342062193126022
Fearful,0.75,0.4975609756097561,0.5982404692082112,410.0,0.6342062193126022
Happy,0.5432780847145487,0.6797235023041475,0.6038894575230297,434.0,0.6342062193126022
Neutral,0.7266881028938906,0.6295264623955432,0.6746268656716418,359.0,0.6342062193126022
Sad,0.5418803418803418,0.7304147465437788,0.6221786064769381,434.0,0.6342062193126022
accuracy,0.6342062193126022,0.6342062193126022,0.6342062193126022,0.6342062193126022,0.6342062193126022
macro avg,0.6796132165630576,0.626308225167276,0.6240472985578757,2444.0,0.6342062193126022
weighted avg,0.6727434797145297,0.6342062193126022,0.6257023201772057,2444.0,0.6342062193126022
