,precision,recall,f1-score,support,accuracy
Angry,0.8567901234567902,0.7995391705069125,0.8271752085816448,434.0,0.7270867430441899
Disgusted,0.6370023419203747,0.7292225201072386,0.68,373.0,0.7270867430441899
Fearful,0.6542669584245077,0.7292682926829268,0.6897347174163783,410.0,0.7270867430441899
Happy,0.7567567567567568,0.6451612903225806,0.6965174129353234,434.0,0.7270867430441899
Neutral,0.8144654088050315,0.7214484679665738,0.7651403249630724,359.0,0.7270867430441899
Sad,0.6852248394004282,0.7373271889400922,0.7103218645948945,434.0,0.7270867430441899
accuracy,0.7270867430441899,0.7270867430441899,0.7270867430441899,0.7270867430441899,0.7270867430441899
macro avg,0.7340844047939815,0.7269944884210542,0.7281482547485524,2444.0,0.7270867430441899
weighted avg,0.734824604977013,0.7270867430441899,0.7285920203662055,2444.0,0.7270867430441899
