,precision,recall,f1-score,support,accuracy
Angry,0.6540284360189573,0.6359447004608295,0.6448598130841121,434.0,0.5413256955810147
Disgusted,0.5527272727272727,0.4075067024128686,0.4691358024691358,373.0,0.5413256955810147
Fearful,0.47877358490566035,0.4951219512195122,0.486810551558753,410.0,0.5413256955810147
Happy,0.603448275862069,0.4032258064516129,0.48342541436464087,434.0,0.5413256955810147
Neutral,0.5714285714285714,0.6016713091922006,0.5861601085481682,359.0,0.5413256955810147
Sad,0.4595419847328244,0.6935483870967742,0.5528007346189164,434.0,0.5413256955810147
accuracy,0.5413256955810147,0.5413256955810147,0.5413256955810147,0.5413256955810147,0.5413256955810147
macro avg,0.5533246876125592,0.5395031428056329,0.5371987374406211,2444.0,0.5413256955810147
weighted avg,0.5535161268460973,0.5413256955810147,0.5378898391842215,2444.0,0.5413256955810147
