,precision,recall,f1-score,support,accuracy
Angry,0.6735112936344969,0.7557603686635944,0.7122692725298588,434.0,0.5945171849427169
Disgusted,0.6287878787878788,0.4450402144772118,0.521193092621664,373.0,0.5945171849427169
Fearful,0.504,0.6146341463414634,0.5538461538461539,410.0,0.5945171849427169
Happy,0.6793893129770993,0.41013824884792627,0.5114942528735632,434.0,0.5945171849427169
Neutral,0.6239782016348774,0.637883008356546,0.6308539944903582,359.0,0.5945171849427169
Sad,0.5319148936170213,0.6912442396313364,0.6012024048096193,434.0,0.5945171849427169
accuracy,0.5945171849427169,0.5945171849427169,0.5945171849427169,0.5945171849427169,0.5945171849427169
macro avg,0.6069302634418956,0.5924500377196796,0.5884765285285363,2444.0,0.5945171849427169
weighted avg,0.6068723323543452,0.5945171849427169,0.5891954764154265,2444.0,0.5945171849427169
