,precision,recall,f1-score,support,accuracy
Angry,0.5732484076433121,0.6221198156682027,0.5966850828729282,434.0,0.4946808510638298
Disgusted,0.5679012345679012,0.3699731903485255,0.44805194805194803,373.0,0.4946808510638298
Fearful,0.7355371900826446,0.21707317073170732,0.3352165725047081,410.0,0.4946808510638298
Happy,0.47592067988668557,0.3870967741935484,0.4269377382465057,434.0,0.4946808510638298
Neutral,0.4153543307086614,0.5877437325905293,0.4867358708189158,359.0,0.4946808510638298
Sad,0.4451871657754011,0.7672811059907834,0.5634517766497462,434.0,0.4946808510638298
accuracy,0.4946808510638298,0.4946808510638298,0.4946808510638298,0.4946808510638298,0.4946808510638298
macro avg,0.5355248347774344,0.49188129825388277,0.47617983152412524,2444.0,0.4946808510638298
weighted avg,0.5364403547817773,0.4946808510638298,0.4779421949288551,2444.0,0.4946808510638298
